Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Digital Age","Technology Boulder > Dogtown > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/108111538/digital-age,3.0,-1,Boulder,V6,1,15,42.63095,-70.66814
"Kung Fu","Kung Fu Boulder > Gilbert Hills State Park > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/106531899/kung-fu,3.0,-1,Boulder,V6,1,,42.0595,-71.2759
"Liquid Gold","Cold Turkey Boulder > Hillside Area > Sector Two > The Promised Land > Greater Lynn Woods Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107330045/liquid-gold,3.0,-1,Boulder,V6,1,13,42.50398,-70.9806
"The Calling","Cave Boulder > Nature Valley Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106936216/the-calling,3.0,-1,Boulder,V6,1,13,42.50664,-70.99272
"Behind the Scenes","Sharma Boulders > Sector One > The Promised Land > Greater Lynn Woods Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107269061/behind-the-scenes,3.0,-1,Boulder,V6,1,15,42.50997,-71.02564
Timeless,"The Wonder Wall > Sector Two > The Promised Land > Greater Lynn Woods Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107360176/timeless,3.0,-1,Boulder,V6,1,14,42.49727,-70.97562
"A New Approach","Miracle Boulders > Sector Two > The Promised Land > Greater Lynn Woods Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107366719/a-new-approach,3.0,-1,Boulder,V6,1,12,42.49727,-70.97562
Harmony,"The Pocket  Boulder > Wasteland Boulders > Greater Lynn Woods Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107430138/harmony,3.0,-1,Boulder,V6,1,15,42.49123,-70.99199
"Wardrobe Malfunction","Bob Johnson Boulder  1 > Bob Johnson Crag > Stone Tower Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106951979/wardrobe-malfunction,2.8,-1,Boulder,V6,1,12,42.48497,-70.98267
V6,"The Approach Boulder > Redrocks Bouldering > Redrocks and Vicinity > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/107870968/v6,2.5,-1,Boulder,V6,1,10,42.6167,-70.7246
"Call For Backup","Trillium Boulder > State Line Boulders > Townsend, MA Bouldering > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/114201158/call-for-backup,2.4,-1,Boulder,V6,1,16,42.70634,-71.77129
"One Bottle","Slant Right Boulder > Stone Tower Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107257050/one-bottle,2.3,-1,Boulder,V6,1,,42.49055,-70.98296
"Healthy Trim","The Lost Boulder > Stone Tower Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106955951/healthy-trim,2.4,-1,Boulder,V6,1,15,42.48591,-70.98539
"Chi's Grater","F7 Boulder (Aka the Perfect Target) > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106970421/chis-grater,2.3,-1,Boulder,V6,1,,42.49845,-70.99749
"Savage Arete","First Boulder > Spring Pond Woods > Greater Lynn Woods Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/111970019/savage-arete,2.5,-1,Boulder,V6,1,10,42.50471,-70.94425
